22d5d0 blk_trace_setup
22d650 blk_trace_ioctl
22d850 blk_trace_init_sysfs
22d880 blk_trace_remove_sysfs
22dc70 ftrace_graph_is_dead
22dce0 function_graph_enter
22de50 ftrace_return_to_handler
22e020 ftrace_graph_init_idle_task
22e3a0 ftrace_graph_init_task
22e414 ftrace_graph_exit_task
22e440 register_ftrace_graph
22e550 unregister_ftrace_graph
22e850 trace_event_reg
22fe90 trace_put_event_file
231394 trace_event_buffer_reserve
231444 trace_define_field
232320 trace_event_raw_init
2329d0 trace_array_set_clr_event
2331f0 trace_find_event_field
233350 trace_event_enable_cmd_record
233430 trace_event_enable_tgid_record
233510 trace_event_enable_disable
233530 trace_event_follow_fork
2335c4 ftrace_set_clr_event
233814 trace_event_eval_update
233934 trace_add_event_call
2339f4 trace_remove_event_call
233ae0 __find_event_file
233fc0 find_event_file
234004 __trace_early_add_events
2340b0 event_trace_add_tracer
2341a0 event_trace_del_tracer
235560 perf_trace_buf_update
235a14 perf_trace_buf_alloc
235d90 perf_trace_init
235e90 perf_trace_destroy
235f20 perf_kprobe_init
236030 perf_kprobe_destroy
2360d0 perf_uprobe_init
2361c0 perf_uprobe_destroy
236260 perf_trace_add
236300 perf_trace_del
236360 perf_ftrace_event_register
237834 filter_parse_regex
238da4 print_subsystem_event_filter
238e70 filter_assign_type
238f30 create_event_filter
238f50 apply_event_filter
2399d0 set_trigger_filter
239d10 event_triggers_post_call
239dc4 event_triggers_call
239ff0 event_enable_trigger_print
23a520 event_enable_trigger_func
23ac70 event_enable_trigger_free
23ad40 trigger_data_free
23ada0 trigger_process_regex
23afe0 trace_event_trigger_enable_disable
23b0d4 clear_event_triggers
23b240 event_enable_register_trigger
23b380 event_enable_unregister_trigger
23b680 find_named_trigger
23b780 save_named_trigger
23b7e0 del_named_trigger
23b830 pause_named_trigger
23b850 unpause_named_trigger
23b870 set_named_trigger_data
23b880 get_named_trigger_data
23edc0 synth_event_add_field
23ef30 __synth_event_gen_cmd_start
23f0a0 synth_event_cmd_init
23f380 synth_event_add_next_val
23f3b0 synth_event_add_val
240260 synth_event_add_field_str
2405f0 synth_event_create
2408c4 synth_event_trace
240fc0 synth_event_trace_array
2412a0 synth_event_delete
242170 find_synth_event
24c3a0 __traceiter_bpf_trace_printk
24c3f4 bpf_get_current_task
24c420 bpf_get_func_ip_tracing
24c850 bpf_read_branch_records
24c920 bpf_override_return
24c944 bpf_probe_read_user
24c9c0 bpf_probe_read_user_str
24ca34 bpf_probe_read_kernel
24cab0 bpf_probe_read_compat
24cb84 bpf_probe_read_kernel_str
24cc00 bpf_probe_read_compat_str
24cd44 bpf_seq_printf
24ce30 bpf_perf_prog_read_value
24cff0 bpf_get_stackid_tp
24d020 bpf_get_stack_tp
24d1f0 bpf_get_current_task_btf
24d370 bpf_d_path
24de70 bpf_perf_event_read
24e4a0 bpf_send_signal
24e4c4 bpf_send_signal_thread
24e4f0 bpf_get_stackid_raw_tp
24e634 bpf_get_stack_raw_tp
24e780 bpf_perf_event_output
24ed30 bpf_trace_printk
24eee0 bpf_trace_run1
24efd0 bpf_trace_run2
24f0a0 bpf_trace_run3
24f174 bpf_trace_run4
24f980 trace_call_bpf
24fb10 bpf_get_trace_printk_proto
24fb84 bpf_event_output
24fe70 perf_event_attach_bpf_prog
24ff94 perf_event_detach_bpf_prog
250074 perf_event_query_prog_array
250570 bpf_put_raw_tracepoint
